Movie_id,Movie,Year,Liker_num,Liker_ratio
79132,Inception (2010),2010.0,29620,0.4583365570599613
318,"Shawshank Redemption, The (1994)",1994.0,56381,0.43808421199853925
2571,"Matrix, The (1999)",1999.0,55485,0.43112223094196533
58559,"Dark Knight, The (2008)",2008.0,32215,0.4293844800469171
4993,"Lord of the Rings: The Fellowship of the Ring, The (2001)",2001.0,41529,0.3842680410463298
7153,"Lord of the Rings: The Return of the King, The (2003)",2003.0,37674,0.37902933719666787
296,Pulp Fiction (1994),1994.0,48321,0.3754574627619484
2959,Fight Club (1999),1999.0,46856,0.3656968031968032
5952,"Lord of the Rings: The Two Towers, The (2002)",2002.0,37666,0.3626717505801246
109487,Interstellar (2014),2014.0,16435,0.3564534669356063
356,Forrest Gump (1994),1994.0,45129,0.350655405247904
260,Star Wars: Episode IV - A New Hope (1977),1977.0,43679,0.3393888064398325
593,"Silence of the Lambs, The (1991)",1991.0,43416,0.3373452785180926
1196,Star Wars: Episode V - The Empire Strikes Back (1980),1980.0,41049,0.31895352722243375
2858,American Beauty (1999),1999.0,40243,0.31269085229877464
858,"Godfather, The (1972)",1972.0,39397,0.30611737464937566
1198,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),1981.0,38277,0.29741489832865836
527,Schindler's List (1993),1993.0,38256,0.2972517268976449
50,"Usual Suspects, The (1995)",1995.0,36738,0.2854567634558155
4226,Memento (2000),2000.0,31853,0.28302708274097244
134130,The Martian (2015),2015.0,11779,0.2766452158391658
99114,Django Unchained (2012),2012.0,14610,0.27470151358465733
1210,Star Wars: Episode VI - Return of the Jedi (1983),1983.0,33709,0.2619212270491612
2028,Saving Private Ryan (1998),1998.0,33237,0.25825375488543034
60069,WALL·E (2008),2008.0,19384,0.2579580538699031
2762,"Sixth Sense, The (1999)",1999.0,32807,0.25491262558372635
3578,Gladiator (2000),2000.0,30337,0.2522806463147916
7361,Eternal Sunshine of the Spotless Mind (2004),2004.0,24246,0.24762040933044652
164179,Arrival (2016),2016.0,7093,0.24532217341680213
68954,Up (2009),2009.0,17099,0.24527002797102487
1270,Back to the Future (1985),1985.0,31432,0.24422878188641714
68157,Inglourious Basterds (2009),2009.0,16346,0.2383702277831248
4973,"Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)",2001.0,25697,0.23735279176095692
91529,"Dark Knight Rises, The (2012)",2012.0,13682,0.23657364180239998
48516,"Departed, The (2006)",2006.0,19369,0.23200019164660365
112852,Guardians of the Galaxy (2014),2014.0,10844,0.23124493538619012
116797,The Imitation Game (2014),2014.0,10629,0.23117075186498184
33794,Batman Begins (2005),2005.0,20835,0.2302311704384724
110,Braveheart (1995),1995.0,29187,0.226784978904265
47,Seven (a.k.a. Se7en) (1995),1995.0,29171,0.22666065781396902
4306,Shrek (2001),2001.0,25062,0.22403790282930316
589,Terminator 2: Judgment Day (1991),1991.0,28813,0.2238789734185969
6539,Pirates of the Caribbean: The Curse of the Black Pearl (2003),2003.0,22402,0.22157382497230574
608,Fargo (1996),1996.0,28504,0.2214780223622561
6874,Kill Bill: Vol. 1 (2003),2003.0,22074,0.22044460423033135
1,Toy Story (1995),1995.0,28246,0.21947334478123373
1704,Good Will Hunting (1997),1997.0,27769,0.21576702227678538
134853,Inside Out (2015),2015.0,9073,0.21260193082763146
6377,Finding Nemo (2003),2003.0,21484,0.21163374870708762
1193,One Flew Over the Cuckoo's Nest (1975),1975.0,27093,0.21051445621178097
59315,Iron Man (2008),2008.0,15943,0.21026878742317534
1136,Monty Python and the Holy Grail (1975),1975.0,26922,0.2091857745592429
106782,"Wolf of Wall Street, The (2013)",2013.0,10178,0.20727857768364458
195159,Spider-Man: Into the Spider-Verse (2018),2018.0,2336,0.20712892356800852
122904,Deadpool (2016),2016.0,8795,0.2055098607346481
1197,"Princess Bride, The (1987)",1987.0,26401,0.20513756905648062
1221,"Godfather: Part II, The (1974)",1974.0,26254,0.20399536903938648
48780,"Prestige, The (2006)",2006.0,16976,0.20386449063899797
8961,"Incredibles, The (2004)",2004.0,19186,0.20121235002936488
4886,"Monsters, Inc. (2001)",2001.0,21715,0.19974060855807793
4995,"Beautiful Mind, A (2001)",2001.0,21551,0.19956662252636842
122882,Mad Max: Fury Road (2015),2015.0,8593,0.196807292382392
44191,V for Vendetta (2006),2006.0,16797,0.19487661411019455
74458,Shutter Island (2010),2010.0,12820,0.1929444344109325
1214,Alien (1979),1979.0,24818,0.1928375511853239
1089,Reservoir Dogs (1992),1992.0,24757,0.19236357702857054
541,Blade Runner (1982),1982.0,24744,0.19226256614270507
72998,Avatar (2009),2009.0,12866,0.19132167499405187
109374,"Grand Budapest Hotel, The (2014)",2014.0,9232,0.1912178956089478
1291,Indiana Jones and the Last Crusade (1989),1989.0,24415,0.18970621372349436
1213,Goodfellas (1990),1990.0,24350,0.189201159294167
2329,American History X (1998),1998.0,24258,0.18848631302496524
115713,Ex Machina (2015),2015.0,8496,0.18704180701406775
112556,Gone Girl (2014),2014.0,8663,0.18668649254374622
480,Jurassic Park (1993),1993.0,23984,0.18635731435364689
204698,Joker (2019),2019.0,597,0.18517369727047148
112552,Whiplash (2014),2014.0,8597,0.18492546623932543
7438,Kill Bill: Vol. 2 (2004),2004.0,17958,0.18417705940269116
5418,"Bourne Identity, The (2002)",2002.0,19045,0.18042213759260312
1240,"Terminator, The (1984)",1984.0,23186,0.18015679997513578
1265,Groundhog Day (1993),1993.0,23060,0.17917777138905508
89745,"Avengers, The (2012)",2012.0,10502,0.17899204063197724
4963,Ocean's Eleven (2001),2001.0,19159,0.17724552006142857
5989,Catch Me If You Can (2002),2002.0,18239,0.1758026738122548
111759,Edge of Tomorrow (2014),2014.0,8227,0.17367898836791995
5618,Spirited Away (Sen to Chihiro no kamikakushi) (2001),2001.0,18134,0.17305912105740326
3147,"Green Mile, The (1999)",1999.0,21792,0.1730004366292224
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),1995.0,22157,0.17216139985547674
168252,Logan (2017),2017.0,4357,0.17209100244885062
1036,Die Hard (1988),1988.0,22139,0.17202153862889377
54286,"Bourne Ultimatum, The (2007)",2007.0,13567,0.171157873489264
55820,No Country for Old Men (2007),2007.0,13339,0.17112910054267644
4878,Donnie Darko (2001),2001.0,18495,0.1699908088235294
92259,Intouchables (2011),2011.0,9661,0.16838050752928055
